Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402,15.40736,-36.286833,-45,bottom
C2,0.1uF,C_0402,25.65,-33.044193,90,bottom
C3,0.1uF,C_0402,24.034062,-26.811602,45,bottom
C4,0.1uF,C_0603,9.353125,-65.484375,-90,bottom
C5,0.1uF,C_0402,15.40736,-27.801552,-135,bottom
C6,1uF,C_0402_1005Metric,8.804947,-27.192895,90,bottom
C7,0.1uF,C_0402,24.88259,-27.66013,45,bottom
C8,1uF,C_0402_1005Metric,13.804947,-26.692895,90,bottom
C9,0.1uF,C_0402,26.55,-33.044193,90,bottom
C10,10uF (5%),C_0402,17.25,-38.444193,-90,bottom
C11,0.1uF,C_0603,59.359375,-65.484375,-90,bottom
C12,0.1uF,C_0603,33.165625,-65.484375,-90,bottom
C13,0.1uF,C_0603,85.553125,-65.484375,-90,bottom
C14,0.1uF,C_0603,110.7946,-65.484375,-90,bottom
C15,0.1uF,C_0603,137.3455,-65.484375,-90,bottom
C16,0.1uF,C_0603,163.8964,-65.484375,-90,bottom
C17,0.1uF,C_0603,253.275111,-65.484375,-90,bottom
C18,0.1uF,C_0603,228.771875,-65.484375,-90,bottom
C19,0.1uF,C_0603,215.33125,-65.484375,-90,bottom
C20,0.1uF,C_0603,182.3375,-65.484375,-90,bottom
C21,0.1uF,C_0603,259.72775,-7.14375,90,bottom
C22,0.1uF,C_0603,233.17685,-7.14375,90,bottom
C23,0.1uF,C_0603,206.62595,-7.14375,90,bottom
C24,0.1uF,C_0603,126.97325,-7.14375,90,bottom
C25,0.1uF,C_0603,100.42235,-7.14375,90,bottom
C26,0.1uF,C_0603,73.87145,-7.14375,90,bottom
C27,0.1uF,C_0603,180.07505,-7.14375,90,bottom
C28,0.1uF,C_0603,153.52415,-7.14375,90,bottom
C29,0.1uF,C_0603,47.32055,-7.14375,90,bottom
C30,0.1uF,C_0603,12.643751,-7.14375,90,bottom
C31,0.1uF,C_0603,0.81875,-7.14375,90,bottom
D3,CD4148W,DIODE_1206_SawnsProjects,3.099,-0.5,90,bottom
D4,CD4148W,DIODE_1206_SawnsProjects,22.149,-0.5,90,bottom
D5,CD4148W,DIODE_1206_SawnsProjects,7.8615,-19.55,90,bottom
