Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402",15.407360,-36.286833,-45.000000,bottom
"C2","0.1uF","C_0402",25.650000,-33.044193,90.000000,bottom
"C3","0.1uF","C_0402",24.034062,-26.811602,45.000000,bottom
"C4","0.1uF","C_0603",9.353125,-65.484375,-90.000000,bottom
"C5","0.1uF","C_0402",15.407360,-27.801552,-135.000000,bottom
"C6","1uF","C_0402_1005Metric",8.804947,-27.192895,90.000000,bottom
"C7","0.1uF","C_0402",24.882590,-27.660130,45.000000,bottom
"C8","1uF","C_0402_1005Metric",13.804947,-26.692895,90.000000,bottom
"C9","0.1uF","C_0402",26.550000,-33.044193,90.000000,bottom
"C10","10uF (5%)","C_0402",17.250000,-38.444193,-90.000000,bottom
"C11","0.1uF","C_0603",59.359375,-65.484375,-90.000000,bottom
"C12","0.1uF","C_0603",33.165625,-65.484375,-90.000000,bottom
"C13","0.1uF","C_0603",85.553125,-65.484375,-90.000000,bottom
"C14","0.1uF","C_0603",110.794600,-65.484375,-90.000000,bottom
"C15","0.1uF","C_0603",137.345500,-65.484375,-90.000000,bottom
"C16","0.1uF","C_0603",163.896400,-65.484375,-90.000000,bottom
"C17","0.1uF","C_0603",253.275111,-65.484375,-90.000000,bottom
"C18","0.1uF","C_0603",228.771875,-65.484375,-90.000000,bottom
"C19","0.1uF","C_0603",215.331250,-65.484375,-90.000000,bottom
"C20","0.1uF","C_0603",182.337500,-65.484375,-90.000000,bottom
"C21","0.1uF","C_0603",259.727750,-7.143750,90.000000,bottom
"C22","0.1uF","C_0603",233.176850,-7.143750,90.000000,bottom
"C23","0.1uF","C_0603",206.625950,-7.143750,90.000000,bottom
"C24","0.1uF","C_0603",126.973250,-7.143750,90.000000,bottom
"C25","0.1uF","C_0603",100.422350,-7.143750,90.000000,bottom
"C26","0.1uF","C_0603",73.871450,-7.143750,90.000000,bottom
"C27","0.1uF","C_0603",180.075050,-7.143750,90.000000,bottom
"C28","0.1uF","C_0603",153.524150,-7.143750,90.000000,bottom
"C29","0.1uF","C_0603",47.320550,-7.143750,90.000000,bottom
"C30","0.1uF","C_0603",12.643751,-7.143750,90.000000,bottom
"C31","0.1uF","C_0603",0.818750,-7.143750,90.000000,bottom
"D3","CD4148W","DIODE_1206_SawnsProjects",3.099000,-0.500000,90.000000,bottom
"D4","CD4148W","DIODE_1206_SawnsProjects",22.149000,-0.500000,90.000000,bottom
"D5","CD4148W","DIODE_1206_SawnsProjects",7.861500,-19.550000,90.000000,bottom
"D6","CD4148W","DIODE_1206_SawnsProjects",31.674000,-19.550000,90.000000,bottom
"D7","CD4148W","DIODE_1206_SawnsProjects",36.436499,-38.600000,90.000000,bottom
"D8","CD4148W","DIODE_1206_SawnsProjects",40.436500,-38.600000,90.000000,bottom
"D9","CD4148W","DIODE_1206_SawnsProjects",15.005260,-57.650067,90.000000,bottom
"D10","CD4148W","DIODE_1206_SawnsProjects",30.911499,-57.650000,90.000000,bottom
"D11","CD4148W","DIODE_1206_SawnsProjects",11.861503,-76.700083,90.000000,bottom
"D12","CD4148W","DIODE_1206_SawnsProjects",35.674023,-76.700083,90.000000,bottom
"D14","CD4148W","DIODE_1206_SawnsProjects",41.198999,-0.499999,90.000000,bottom
"D15","CD4148W","DIODE_1206_SawnsProjects",50.723999,-19.550000,90.000000,bottom
"D16","CD4148W","DIODE_1206_SawnsProjects",55.486500,-38.600000,90.000000,bottom
"D17","CD4148W","DIODE_1206_SawnsProjects",45.961501,-57.649999,90.000000,bottom
"D18","CD4148W","DIODE_1206_SawnsProjects",59.486543,-76.700084,90.000000,bottom
"D20","CD4148W","DIODE_1206_SawnsProjects",60.249001,-0.499999,90.000000,bottom
"D21","CD4148W","DIODE_1206_SawnsProjects",69.773999,-19.550000,90.000000,bottom
"D22","CD4148W","DIODE_1206_SawnsProjects",74.536500,-38.600000,90.000000,bottom
"D23","CD4148W","DIODE_1206_SawnsProjects",65.011500,-57.650000,90.000000,bottom
"D24","CD4148W","DIODE_1206_SawnsProjects",235.650000,-0.500000,90.000000,bottom
"D26","CD4148W","DIODE_1206_SawnsProjects",79.298999,-0.500000,90.000000,bottom
"D27","CD4148W","DIODE_1206_SawnsProjects",88.824000,-19.550001,90.000000,bottom
"D28","CD4148W","DIODE_1206_SawnsProjects",93.586500,-38.600000,90.000000,bottom
"D29","CD4148W","DIODE_1206_SawnsProjects",84.061500,-57.649999,90.000000,bottom
"D32","CD4148W","DIODE_1206_SawnsProjects",98.349001,-0.499999,90.000000,bottom
"D33","CD4148W","DIODE_1206_SawnsProjects",107.874000,-19.550000,90.000000,bottom
"D34","CD4148W","DIODE_1206_SawnsProjects",112.636500,-38.600000,90.000000,bottom
"D35","CD4148W","DIODE_1206_SawnsProjects",103.111500,-57.649999,90.000000,bottom
"D38","CD4148W","DIODE_1206_SawnsProjects",117.399000,-0.500000,90.000000,bottom
"D39","CD4148W","DIODE_1206_SawnsProjects",126.924000,-19.550000,90.000000,bottom
"D40","CD4148W","DIODE_1206_SawnsProjects",131.686500,-38.600000,90.000000,bottom
"D41","CD4148W","DIODE_1206_SawnsProjects",122.161499,-57.650000,90.000000,bottom
"D42","CD4148W","DIODE_1206_SawnsProjects",136.449111,-76.700084,90.000000,bottom
"D44","CD4148W","DIODE_1206_SawnsProjects",136.449000,-0.499999,90.000000,bottom
"D45","CD4148W","DIODE_1206_SawnsProjects",145.973999,-19.550000,90.000000,bottom
"D46","CD4148W","DIODE_1206_SawnsProjects",150.736500,-38.600000,90.000000,bottom
"D47","CD4148W","DIODE_1206_SawnsProjects",141.211501,-57.649999,90.000000,bottom
"D50","CD4148W","DIODE_1206_SawnsProjects",155.499000,-0.499999,90.000000,bottom
"D51","CD4148W","DIODE_1206_SawnsProjects",165.024000,-19.549999,90.000000,bottom
"D52","CD4148W","DIODE_1206_SawnsProjects",169.786500,-38.600000,90.000000,bottom
"D53","CD4148W","DIODE_1206_SawnsProjects",160.261500,-57.650000,90.000000,bottom
"D56","CD4148W","DIODE_1206_SawnsProjects",174.548999,-0.500000,90.000000,bottom
"D57","CD4148W","DIODE_1206_SawnsProjects",184.074000,-19.550001,90.000000,bottom
"D58","CD4148W","DIODE_1206_SawnsProjects",188.836500,-38.600000,90.000000,bottom
"D59","CD4148W","DIODE_1206_SawnsProjects",179.311500,-57.650000,90.000000,bottom
"D62","CD4148W","DIODE_1206_SawnsProjects",193.599000,-0.499999,90.000000,bottom
"D63","CD4148W","DIODE_1206_SawnsProjects",203.124000,-19.550001,90.000000,bottom
"D64","CD4148W","DIODE_1206_SawnsProjects",207.886500,-38.600000,90.000000,bottom
"D65","CD4148W","DIODE_1206_SawnsProjects",198.361499,-57.649999,90.000000,bottom
"D66","CD4148W","DIODE_1206_SawnsProjects",202.406251,-76.700000,90.000000,bottom
"D68","CD4148W","DIODE_1206_SawnsProjects",212.649000,-0.500000,90.000000,bottom
"D69","CD4148W","DIODE_1206_SawnsProjects",222.174000,-19.550000,90.000000,bottom
"D70","CD4148W","DIODE_1206_SawnsProjects",226.936500,-38.600000,90.000000,bottom
"D71","CD4148W","DIODE_1206_SawnsProjects",217.411500,-57.649999,90.000000,bottom
"D72","CD4148W","DIODE_1206_SawnsProjects",226.218751,-76.700000,90.000000,bottom
"D74","CD4148W","DIODE_1206_SawnsProjects",231.699000,-0.500000,90.000000,bottom
"D75","CD4148W","DIODE_1206_SawnsProjects",241.224000,-19.550000,90.000000,bottom
"D76","CD4148W","DIODE_1206_SawnsProjects",231.050000,-38.600000,90.000000,bottom
"D77","CD4148W","DIODE_1206_SawnsProjects",253.130250,-57.650000,90.000000,bottom
"D78","CD4148W","DIODE_1206_SawnsProjects",247.605250,-76.700000,90.000000,bottom
"D80","CD4148W","DIODE_1206_SawnsProjects",238.050000,-0.500000,90.000000,bottom
"D81","CD4148W","DIODE_1206_SawnsProjects",265.036499,-19.550000,90.000000,bottom
"D83","CD4148W","DIODE_1206_SawnsProjects",269.799000,-57.650000,90.000000,bottom
"D84","CD4148W","DIODE_1206_SawnsProjects",271.417750,-76.700000,90.000000,bottom
"J1","Conn_01x04","JST-SR-4",62.042749,-29.596000,-90.000000,bottom
"J2","Conn_01x04","JST-SR-4",26.750000,-8.499998,-90.000000,bottom
"J3","Conn_01x04","JST-SR-4",-4.445053,-25.492895,0.000000,bottom
"J4","Conn_01x04","JST-SR-4",40.750000,-8.499998,-90.000000,bottom
"Q1","DTC123J","SC-59",17.600000,-42.544193,0.000000,bottom
"R1","1k5","R_0402",12.554947,-28.942895,180.000000,bottom
"R2","22R","R_0402",12.554947,-29.942895,0.000000,bottom
"R3","22R","R_0402",12.554947,-30.942895,180.000000,bottom
"R4","300R","R_0402",10.213749,-42.699999,90.000000,bottom
"R5","100R","R_0402",24.000000,-36.794193,180.000000,bottom
"R6","330k (1%)","R_0402",16.750000,-39.894193,0.000000,bottom
"R7","1M (1%)","R_0402",16.250000,-38.444193,-90.000000,bottom
"R10","300R","R_0402",3.181250,-66.484375,90.000000,bottom
"RGB1","SK6812_Mini_3535","SK6812_Mini_3535",-2.381250,-7.143750,0.000000,bottom
"RGB2","SK6812_Mini_3535","SK6812_Mini_3535",16.043751,-7.143750,0.000000,bottom
"RGB3","SK6812_Mini_3535","SK6812_Mini_3535",50.720550,-7.143750,0.000000,bottom
"RGB4","SK6812_Mini_3535","SK6812_Mini_3535",77.271450,-7.143750,0.000000,bottom
"RGB5","SK6812_Mini_3535","SK6812_Mini_3535",103.822350,-7.143750,0.000000,bottom
"RGB6","SK6812_Mini_3535","SK6812_Mini_3535",130.373250,-7.143750,0.000000,bottom
"RGB7","SK6812_Mini_3535","SK6812_Mini_3535",156.924150,-7.143750,0.000000,bottom
"RGB8","SK6812_Mini_3535","SK6812_Mini_3535",183.475050,-7.143750,0.000000,bottom
"RGB9","SK6812_Mini_3535","SK6812_Mini_3535",210.025950,-7.143750,0.000000,bottom
"RGB10","SK6812_Mini_3535","SK6812_Mini_3535",236.576850,-7.143750,0.000000,bottom
"RGB11","SK6812_Mini_3535","SK6812_Mini_3535",263.127750,-7.143750,0.000000,bottom
"RGB12","SK6812_Mini_3535","SK6812_Mini_3535",256.675111,-65.484375,180.000000,bottom
"RGB13","SK6812_Mini_3535","SK6812_Mini_3535",232.171875,-65.484375,180.000000,bottom
"RGB14","SK6812_Mini_3535","SK6812_Mini_3535",211.931250,-65.484375,180.000000,bottom
"RGB15","SK6812_Mini_3535","SK6812_Mini_3535",185.737500,-65.484375,180.000000,bottom
"RGB16","SK6812_Mini_3535","SK6812_Mini_3535",160.496400,-65.484375,180.000000,bottom
"RGB17","SK6812_Mini_3535","SK6812_Mini_3535",29.765625,-65.484375,180.000000,bottom
"RGB18","SK6812_Mini_3535","SK6812_Mini_3535",55.959375,-65.484375,180.000000,bottom
"RGB19","SK6812_Mini_3535","SK6812_Mini_3535",82.153125,-65.484375,180.000000,bottom
"RGB20","SK6812_Mini_3535","SK6812_Mini_3535",107.394600,-65.484375,180.000000,bottom
"RGB21","SK6812_Mini_3535","SK6812_Mini_3535",133.945500,-65.484375,180.000000,bottom
"RGB22","SK6812_Mini_3535","SK6812_Mini_3535",5.953125,-65.484375,180.000000,bottom
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",34.150000,-29.294193,0.000000,bottom
"U1","XC6206PxxxMR-Regulator_Linear","SOT-23",11.304947,-26.692895,0.000000,bottom
"U2","STM32F072C8Tx","LQFP-48_7x7mm_P0.5mm",19.650000,-32.044193,180.000000,bottom
"Y1","8Mhz","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",26.900000,-29.794193,0.000000,bottom
