Ref,Val,Package,PosX,PosY,Rot,Side
"","","",0.999994,-89.700001,0.000000,top
"","","",265.700006,13.500000,180.000000,top
"","","",265.700006,13.500000,180.000000,top
"","","",0.999994,13.500000,0.000000,top
"","","",265.700006,-89.700001,180.000000,top
"","","",0.999994,-89.700001,0.000000,top
"","","",0.999994,13.500000,0.000000,top
"","","",0.999994,-89.700001,0.000000,top
"","","",0.999994,13.500000,0.000000,top
"","","",265.700006,-89.700001,180.000000,top
"","","",265.700006,13.500000,180.000000,top
"","","",0.999994,13.500000,0.000000,top
"","","",0.999994,-89.700001,0.000000,top
"","","",265.700006,-89.700001,180.000000,top
"","","",265.700006,13.500000,180.000000,top
"","","",265.700006,-89.700001,180.000000,top
"D36","LED","MXOnly-LEDONLY-FLIPPED",7.143754,-38.100000,0.000000,top
"D48","LED","MXOnly-LEDONLY",2.381250,-38.100000,0.000000,top
"J5","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",-8.525000,-12.175002,0.000000,top
"MX1","6U Center","MXOnly-6U-Centered-ReversedStabilizers-NoLED",123.825001,-76.199999,0.000000,top
"MX3","1U","MXOnly-1U-NoLED",0.000000,0.000000,0.000000,top
"MX4","1U","MXOnly-1U-NoLED",19.050000,0.000000,0.000000,top
"MX5","1.5U","MXOnly-1.5U-NoLED",4.762500,-19.050000,0.000000,top
"MX6","1U","MXOnly-1U-NoLED",28.574999,-19.049999,0.000000,top
"MX7","1.75U","MXOnly-1.75U-NoLED",7.143754,-38.100000,0.000000,top
"MX8","1U","MXOnly-1U-NoLED",33.337499,-38.100000,0.000000,top
"MX9","1.25U","MXOnly-1.25U-NoLED",2.381250,-57.149999,0.000000,top
"MX10","1U","MXOnly-1U-NoLED",23.812499,-57.150000,0.000000,top
"MX11","1.25U","MXOnly-1.25U-NoLED",2.381249,-76.200000,0.000000,top
"MX12","1.25U","MXOnly-1.25U-NoLED",26.193750,-76.200000,0.000000,top
"MX13","1.5U","MXOnly-1.5U-NoLED",195.262501,-76.199999,0.000000,top
"MX14","1U","MXOnly-1U-NoLED",38.100000,0.000002,0.000000,top
"MX15","1U","MXOnly-1U-NoLED",47.624999,-19.050000,0.000000,top
"MX16","1U","MXOnly-1U-NoLED",52.387500,-38.100000,0.000000,top
"MX17","1U","MXOnly-1U-NoLED",42.862501,-57.149999,0.000000,top
"MX18","1.25U","MXOnly-1.25U-NoLED",50.006250,-76.200000,0.000000,top
"MX19","1U","MXOnly-1U-NoLED",219.075001,-76.199999,0.000000,top
"MX20","1U","MXOnly-1U-NoLED",57.150000,0.000001,0.000000,top
"MX21","1U","MXOnly-1U-NoLED",66.674999,-19.050000,0.000000,top
"MX22","1U","MXOnly-1U-NoLED",71.437500,-38.100000,0.000000,top
"MX23","1U","MXOnly-1U-NoLED",61.912500,-57.150000,0.000000,top
"MX24","1.25U","MXOnly-1.25U-NoLED",216.693749,-76.200000,0.000000,top
"MX26","1U","MXOnly-1U-NoLED",76.199999,0.000000,0.000000,top
"MX27","1U","MXOnly-1U-NoLED",85.724999,-19.050001,0.000000,top
"MX28","1U","MXOnly-1U-NoLED",90.487500,-38.100000,0.000000,top
"MX29","1U","MXOnly-1U-NoLED",80.962500,-57.150000,0.000000,top
"MX30","1.25U","MXOnly-1.25U-NoLED",240.506250,-76.200000,0.000000,top
"MX32","1U","MXOnly-1U-NoLED",95.250001,0.000001,0.000000,top
"MX33","1U","MXOnly-1U-NoLED",104.775000,-19.050000,0.000000,top
"MX34","1U","MXOnly-1U-NoLED",109.537500,-38.100000,0.000000,top
"MX35","1U","MXOnly-1U-NoLED",100.012501,-57.149999,0.000000,top
"MX36","1.25U","MXOnly-1.25U-NoLED",2.381250,-38.100000,0.000000,top
"MX38","1U","MXOnly-1U-NoLED",114.300000,0.000000,0.000000,top
"MX39","1U","MXOnly-1U-NoLED",123.825000,-19.049999,0.000000,top
"MX40","1U","MXOnly-1U-NoLED",128.587499,-38.100000,0.000000,top
"MX41","1U","MXOnly-1U-NoLED",119.062499,-57.150000,0.000000,top
"MX42","6.25U","MXOnly-6.25U-ReversedStabilizers-NoLED",121.443751,-76.199999,0.000000,top
"MX44","1U","MXOnly-1U-NoLED",133.350000,0.000000,0.000000,top
"MX45","1U","MXOnly-1U-NoLED",142.875000,-19.049999,0.000000,top
"MX46","1U","MXOnly-1U-NoLED",147.637500,-38.099999,0.000000,top
"MX47","1U","MXOnly-1U-NoLED",138.112501,-57.149999,0.000000,top
"MX48","1.25U","MXOnly-1.25U-NoLED",264.318750,-76.200000,0.000000,top
"MX50","1U","MXOnly-1U-NoLED",152.400000,0.000002,0.000000,top
"MX51","1U","MXOnly-1U-NoLED",161.925000,-19.049999,0.000000,top
"MX52","1U","MXOnly-1U-NoLED",166.687500,-38.100000,0.000000,top
"MX53","1U","MXOnly-1U-NoLED",157.162500,-57.150000,0.000000,top
"MX54","1.25U","MXOnly-1.25U-NoLED",192.881250,-76.199999,0.000000,top
"MX56","1U","MXOnly-1U-NoLED",171.449999,0.000000,0.000000,top
"MX57","1U","MXOnly-1U-NoLED",180.974999,-19.050001,0.000000,top
"MX58","1U","MXOnly-1U-NoLED",185.737500,-38.100000,0.000000,top
"MX59","1U","MXOnly-1U-NoLED",176.212500,-57.150000,0.000000,top
"MX60","1.5U","MXOnly-1.5U-NoLED",4.762503,-76.200083,0.000000,top
"MX62","1U","MXOnly-1U-NoLED",190.500000,0.000001,0.000000,top
"MX63","1U","MXOnly-1U-NoLED",200.025001,-19.050001,0.000000,top
"MX64","1U","MXOnly-1U-NoLED",204.787500,-38.100000,0.000000,top
"MX65","1U","MXOnly-1U-NoLED",195.262500,-57.150000,0.000000,top
"MX66","1.5U","MXOnly-1.5U-NoLED",52.387543,-76.200084,0.000000,top
"MX68","1U","MXOnly-1U-NoLED",209.550000,0.000000,0.000000,top
"MX69","1U","MXOnly-1U-NoLED",219.075000,-19.050000,0.000000,top
"MX70","1U","MXOnly-1U-NoLED",223.837500,-38.100000,0.000000,top
"MX71","1U","MXOnly-1U-NoLED",214.312500,-57.149999,0.000000,top
"MX72","1U","MXOnly-1U-NoLED",28.575023,-76.200083,0.000000,top
"MX74","1U","MXOnly-1U-NoLED",228.600000,0.000000,0.000000,top
"MX75","1U","MXOnly-1U-NoLED",238.124999,-19.049999,0.000000,top
"MX76","ANSI Enter","MXOnly-2.25U-ReversedStabilizers-NoLED",254.793749,-38.100000,0.000000,top
"MX77","1.75U","MXOnly-1.75U-NoLED",240.506251,-57.149999,0.000000,top
"MX78","2U","MXOnly-2U-NoLED",257.174992,-0.000020,0.000000,top
"MX80","1U","MXOnly-1U-NoLED",247.650000,0.000002,0.000000,top
"MX81","1.5U","MXOnly-1.5U-NoLED",261.937499,-19.050000,0.000000,top
"MX82","1U","MXOnly-1U-NoLED",242.887499,-38.100000,0.000000,top
"MX83","1U","MXOnly-1U-NoLED",266.700000,-57.150000,0.000000,top
"MX84","2.75U","MXOnly-2.75U-NoLED",250.031250,-57.150000,0.000000,top
"MX85","ISO","MXOnly-ISO-ROTATED-ReversedStabilizers-NoLED",264.318749,-28.575000,0.000000,top
"MX86","1U","MXOnly-1U-NoLED",266.700000,0.000001,0.000000,top
"MX87","7U | 6U","MXOnly-7U-ReversedStabilizers-NoLED",133.350111,-76.200084,0.000000,top
"MX88","1.5U","MXOnly-1.5U-NoLED",214.312679,-76.200083,0.000000,top
"MX89","1U","MXOnly-1U-NoLED",238.125199,-76.200084,0.000000,top
"MX90","1.5U","MXOnly-1.5U-NoLED",261.937718,-76.200083,0.000000,top
"MX107","2.25U","MXOnly-2.25U-NoLED",11.906249,-57.150000,0.000000,top
