"Footprint","Part Value","LCSC Part"
"C_0402","4.7nF","C1538"
"C_0402","100nF","C307331"
"C_0402","1uF","C52923"
"C_0402","2.2nF ±10% 50V","C126534"
"C_0402","470nF","C77003"
"C_0603","10uF ±10% 25V","C344022"
"C_0603","22uF ±10% 25V","C2762594"
"JST-SR-4","Conn_01x04","C2905006"
"L_TDK_NLV25_2.5x2.0mm","2.2uH","C3040393"
"QFN-32_4x4mm_ThermalVias","AT32F405KxU7-4","C19273083"
"QFN-48_6x6mm_ThermalVias","AT32F423CxU7","C41414225"
"R_0402","10k","C25744"
"R_0402","15.4k 1%","C185463"
"R_0402","4.87k 1%","C276272"
"R_0402","12k","C25752"
"Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","12Mhz","C2659482"
"SLSS49E_MX_1.5U","SLSS49E-3","C2904393"
"SLSS49E_MX_1.75U","SLSS49E-3","C2904393"
"SLSS49E_MX_1U","SLSS49E-3","C2904393"
"SLSS49E_MX_2.25U-ReversedStabilizers","SLSS49E-3","C2904393"
"SLSS49E_MX_3U","SLSS49E-3","C2904393"
"Texas_RPU0010A_VQFN-HR-10_2x2mm_P0.5mm","TPS62912","C3198056"
"USON-8-1EP_1.5x1.5mm_P0.4mm_EP0.7x1.3mm","W25Q16JVSS","C3646778"
