Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7nF,C_0402,26.3125,-23.0625,270.0,bottom
C10,4.7nF,C_0402,197.7625,-23.0625,270.0,bottom
C101,100nF,C_0402,21.3125,-23.0625,270.0,bottom
C102,100nF,C_0402,40.3625,-23.0625,270.0,bottom
C103,100nF,C_0402,59.4125,-23.0625,270.0,bottom
C104,100nF,C_0402,78.4625,-23.0625,270.0,bottom
C105,100nF,C_0402,97.5125,-23.0625,270.0,bottom
C106,100nF,C_0402,116.5625,-23.0625,270.0,bottom
C107,100nF,C_0402,135.6125,-23.0625,270.0,bottom
C108,100nF,C_0402,154.6625,-23.0625,270.0,bottom
C109,100nF,C_0402,173.7125,-23.0625,270.0,bottom
C11,4.7nF,C_0402,216.8125,-23.0625,270.0,bottom
C110,100nF,C_0402,192.7625,-23.0625,270.0,bottom
C111,100nF,C_0402,211.8125,-23.0625,270.0,bottom
C112,100nF,C_0402,230.8625,-23.0625,270.0,bottom
C113,100nF,C_0402,249.9125,-23.0625,270.0,bottom
C114,100nF,C_0402,268.9625,-23.0625,270.0,bottom
C115,100nF,C_0402,278.4875,-23.0625,270.0,bottom
C116,100nF,C_0402,288.0125,-23.0625,270.0,bottom
C117,100nF,C_0402,26.075,-42.1125,270.0,bottom
C118,100nF,C_0402,49.8875,-42.1125,270.0,bottom
C119,100nF,C_0402,68.9375,-42.1125,270.0,bottom
C12,4.7nF,C_0402,235.8625,-23.0625,270.0,bottom
C120,100nF,C_0402,87.9875,-42.1125,270.0,bottom
C121,100nF,C_0402,107.0375,-42.1125,270.0,bottom
C122,100nF,C_0402,126.0875,-42.1125,270.0,bottom
C123,100nF,C_0402,145.1375,-42.1125,270.0,bottom
C124,100nF,C_0402,164.1875,-42.1125,270.0,bottom
C125,100nF,C_0402,183.2375,-42.1125,270.0,bottom
C126,100nF,C_0402,202.2875,-42.1125,270.0,bottom
C127,100nF,C_0402,221.3375,-42.1125,270.0,bottom
C128,100nF,C_0402,240.3875,-42.1125,270.0,bottom
C129,100nF,C_0402,259.4375,-42.1125,270.0,bottom
C13,4.7nF,C_0402,254.9125,-23.0625,270.0,bottom
C130,100nF,C_0402,283.25,-42.1125,270.0,bottom
C131,100nF,C_0402,28.45625,-61.1625,270.0,bottom
C132,100nF,C_0402,54.65,-61.1625,270.0,bottom
C133,100nF,C_0402,73.7,-61.1625,270.0,bottom
C134,100nF,C_0402,92.75,-61.1625,270.0,bottom
C135,100nF,C_0402,111.8,-61.1625,270.0,bottom
C136,100nF,C_0402,130.85,-61.1625,270.0,bottom
C137,100nF,C_0402,149.9,-61.1625,270.0,bottom
C138,100nF,C_0402,168.95,-61.1625,270.0,bottom
C139,100nF,C_0402,188.0,-61.1625,270.0,bottom
C14,4.7nF,C_0402,273.9625,-23.0625,270.0,bottom
C140,100nF,C_0402,207.05,-61.1625,270.0,bottom
C141,100nF,C_0402,226.1,-61.1625,270.0,bottom
C142,100nF,C_0402,245.15,-61.1625,270.0,bottom
C143,100nF,C_0402,276.10625,-61.1625,270.0,bottom
C145,100nF,C_0402,33.21875,-80.2125,270.0,bottom
C147,100nF,C_0402,64.175,-80.2125,270.0,bottom
C148,100nF,C_0402,83.225,-80.2125,270.0,bottom
C149,100nF,C_0402,102.275,-80.2125,270.0,bottom
C15,4.7nF,C_0402,293.0125,-23.0625,270.0,bottom
C150,100nF,C_0402,121.325,-80.2125,270.0,bottom
C151,100nF,C_0402,140.375,-80.2125,270.0,bottom
C152,100nF,C_0402,159.425,-80.2125,270.0,bottom
C153,100nF,C_0402,178.475,-80.2125,270.0,bottom
C154,100nF,C_0402,197.525,-80.2125,270.0,bottom
C155,100nF,C_0402,216.575,-80.2125,270.0,bottom
C156,100nF,C_0402,235.625,-80.2125,270.0,bottom
C157,100nF,C_0402,261.81875,-80.2125,270.0,bottom
C158,100nF,C_0402,288.0125,-80.2125,270.0,bottom
C160,100nF,C_0402,49.8875,-99.2625,270.0,bottom
C161,100nF,C_0402,73.7,-99.2625,270.0,bottom
C162,100nF,C_0402,116.5625,-99.2625,270.0,bottom
C163,100nF,C_0402,154.6625,-99.2625,270.0,bottom
C164,100nF,C_0402,192.7625,-99.2625,270.0,bottom
